,Kommun,Kommunnamn,Zon,Antal Bilar,Kommungrupp 2023,Travel (km),Travel +-,Boende totalt Antal,E,N,geom_Length,geom_Area
25,1292,Ängelholm,1292C1130,852,Pendlingskommun nära större stad,25,3,1582,370107,6235579,12533.09858,6307346.679
26,1292,Ängelholm,1292C1140,1115,Pendlingskommun nära större stad,25,3,1994,370107,6235579,20394.90274,10827585.92
27,1292,Ängelholm,1292B3010,555,Pendlingskommun nära större stad,25,3,1043,370107,6235579,10899.22495,5627930.396
28,1292,Ängelholm,1292A0040,1195,Pendlingskommun nära större stad,25,3,1805,370107,6235579,77389.00945,83920247.62
29,1292,Ängelholm,1292B3020,570,Pendlingskommun nära större stad,25,3,941,363373,6251148,14177.03153,11318671.75
30,1292,Ängelholm,1292A0030,1515,Pendlingskommun nära större stad,25,3,2341,386632,6241761,75983.08729,164885951.7
31,1292,Ängelholm,1292C1030,807,Pendlingskommun nära större stad,25,3,2126,370107,6235579,2292.380435,318973.5964
32,1292,Ängelholm,1292C1070,728,Pendlingskommun nära större stad,25,3,1770,370107,6235579,2634.079013,266019.0324
33,1292,Ängelholm,1292B4010,784,Pendlingskommun nära större stad,25,3,1486,359885,6226823,12774.70585,8185387.039
34,1293,Hässleholm,1293A0030,955,Lågpendlingskommun nära större stad,31,6,1499,434578,6220850,83858.78344,118562815.9
35,1293,Hässleholm,1293A0060,813,Lågpendlingskommun nära större stad,31,6,1297,424130,6226656,72334.92,100478356.1
36,1293,Hässleholm,1293B7010,869,Lågpendlingskommun nära större stad,31,6,1819,419121,6239024,12780.41344,10828804.09
37,1293,Hässleholm,1293B4010,669,Lågpendlingskommun nära större stad,31,6,1376,419121,6239024,13631.80483,7880684.796
38,1293,Hässleholm,1293A0050,888,Lågpendlingskommun nära större stad,31,6,1263,424130,6226656,64854.64398,78902017.2
39,1293,Hässleholm,1293A0040,846,Lågpendlingskommun nära större stad,31,6,1369,415506,6226559,83759.97024,180278967.9
40,1293,Hässleholm,1293B4020,844,Lågpendlingskommun nära större stad,31,6,1583,419121,6239024,15921.85948,7878433.721
41,1293,Hässleholm,1293A0070,631,Lågpendlingskommun nära större stad,31,6,905,419121,6239024,67798.83077,113163904.9
42,1293,Hässleholm,1293B6010,893,Lågpendlingskommun nära större stad,31,6,1855,419121,6239024,17477.23551,14271834.95
43,1293,Hässleholm,1293A0080,851,Lågpendlingskommun nära större stad,31,6,1218,404987,6247646,103678.503,219266346.9
44,1293,Hässleholm,1293B5010,826,Lågpendlingskommun nära större stad,31,6,1904,418693,6205881,11519.67498,7941293.593
45,1293,Hässleholm,1293B3020,1059,Lågpendlingskommun nära större stad,31,6,1977,434578,6220850,5399.730106,1317176.315
46,1293,Hässleholm,1293B3010,638,Lågpendlingskommun nära större stad,31,6,1127,434578,6220850,19117.16387,9427232.999
47,1293,Hässleholm,1293A0010,991,Lågpendlingskommun nära större stad,31,6,1555,418693,6205881,86098.48096,169559367.9
48,1293,Hässleholm,1293B3030,545,Lågpendlingskommun nära större stad,31,6,1182,434578,6220850,10630.11381,4736684.324
49,1293,Hässleholm,1293B8010,633,Lågpendlingskommun nära större stad,31,6,1166,424130,6226656,9960.822656,6706767.123
50,1293,Hässleholm,1293C1020,701,Lågpendlingskommun nära större stad,31,6,1453,424130,6226656,3630.794508,763748.5992
51,1293,Hässleholm,1293C1010,921,Lågpendlingskommun nära större stad,31,6,1986,424130,6226656,7140.349967,2587427.51
52,1293,Hässleholm,1293C1030,503,Lågpendlingskommun nära större stad,31,6,1226,424130,6226656,2813.309541,411161.7193
53,1293,Hässleholm,1293C1050,720,Lågpendlingskommun nära större stad,31,6,2078,424130,6226656,2023.343965,210811.9218
54,1293,Hässleholm,1293C1060,586,Lågpendlingskommun nära större stad,31,6,1540,424130,6226656,1995.034892,256926.0966
55,1293,Hässleholm,1293C1040,624,Lågpendlingskommun nära större stad,31,6,1897,424130,6226656,5760.012121,1235899.404
56,1293,Hässleholm,1293B2010,673,Lågpendlingskommun nära större stad,31,6,1518,415506,6226559,8759.564862,3887082.342
57,1293,Hässleholm,1293C1090,925,Lågpendlingskommun nära större stad,31,6,1885,424130,6226656,5670.087016,1165507.184
58,1293,Hässleholm,1293B2020,887,Lågpendlingskommun nära större stad,31,6,1703,415506,6226559,9248.66542,4525803.843
59,1293,Hässleholm,1293C1110,687,Lågpendlingskommun nära större stad,31,6,1494,424130,6226656,4744.549475,1062553.716
60,1293,Hässleholm,1293C1100,600,Lågpendlingskommun nära större stad,31,6,1699,424130,6226656,5278.621212,1288908.932
61,1293,Hässleholm,1293B2030,822,Lågpendlingskommun nära större stad,31,6,1634,415506,6226559,10683.17614,4695864.135
62,1293,Hässleholm,1293C1130,841,Lågpendlingskommun nära större stad,31,6,1653,424130,6226656,8074.879582,2172592.145
63,1293,Hässleholm,1293C1120,928,Lågpendlingskommun nära större stad,31,6,2239,424130,6226656,16663.63832,6304617.336
64,1293,Hässleholm,1293C1070,1181,Lågpendlingskommun nära större stad,31,6,2191,415506,6226559,22349.04856,17429678.68
65,1293,Hässleholm,1293C1080,791,Lågpendlingskommun nära större stad,31,6,1460,424130,6226656,24762.20873,14420274.5
66,1293,Hässleholm,1293A0020,1057,Lågpendlingskommun nära större stad,31,6,1618,415506,6226559,96310.16251,199249262.3
67,1284,Höganäs,1284C1060,986,Pendlingskommun nära större stad,25,3,2375,350848,6229734,10286.15148,4364460.001
68,1284,Höganäs,1284C1070,1036,Pendlingskommun nära större stad,25,3,2222,350848,6229734,13805.27513,6291504.313
69,1284,Höganäs,1284C1080,766,Pendlingskommun nära större stad,25,3,1969,350848,6229734,2977.526775,501038.1765
70,1284,Höganäs,1284C1090,913,Pendlingskommun nära större stad,25,3,2078,350848,6229734,6449.478215,1733130.846
71,1284,Höganäs,1284C1110,728,Pendlingskommun nära större stad,25,3,1410,350848,6229734,11258.8781,6598226.036
72,1284,Höganäs,1284C1100,893,Pendlingskommun nära större stad,25,3,1913,350848,6229734,13799.53449,7473424.956
73,1284,Höganäs,1284B2010,526,Pendlingskommun nära större stad,25,3,1006,350848,6229734,7965.24823,2850033.235
74,1284,Höganäs,1284A0010,1066,Pendlingskommun nära större stad,25,3,1687,350848,6229734,54334.19502,52617118.59
75,1284,Höganäs,1284C1120,1041,Pendlingskommun nära större stad,25,3,1910,350848,6229734,11312.64396,7583939.651
76,1284,Höganäs,1284A0030,522,Pendlingskommun nära större stad,25,3,761,350848,6229734,21983.38814,25802575.54
77,1284,Höganäs,1284B2020,800,Pendlingskommun nära större stad,25,3,1322,350848,6229734,14486.83208,7182515.764
78,1284,Höganäs,1284A0020,953,Pendlingskommun nära större stad,25,3,1510,350848,6229734,44375.40854,52411493.9
79,1284,Höganäs,1284C1010,663,Pendlingskommun nära större stad,25,3,1274,350848,6229734,7726.768028,2574671.399
80,1284,Höganäs,1284C1020,1135,Pendlingskommun nära större stad,25,3,2454,350848,6229734,7608.66501,2855056.961
81,1284,Höganäs,1284C1030,752,Pendlingskommun nära större stad,25,3,1416,350848,6229734,8141.007748,3756679.627
82,1284,Höganäs,1284C1040,562,Pendlingskommun nära större stad,25,3,1150,350848,6229734,5454.981278,1305308.08
83,1284,Höganäs,1284C1050,809,Pendlingskommun nära större stad,25,3,1646,350848,6229734,5335.929902,1252212.368
84,1276,Klippan,1276B3010,1166,Pendlingskommun nära större stad,25,3,1999,385246,6220091,17428.14452,12344716.97
85,1276,Klippan,1276A0030,911,Pendlingskommun nära större stad,25,3,1414,385246,6220091,91884.8063,118003621.4
86,1276,Klippan,1276B2010,1299,Pendlingskommun nära större stad,25,3,2341,385246,6220091,15294.16233,13294869.61
87,1276,Klippan,1276A0020,628,Pendlingskommun nära större stad,25,3,961,385246,6220091,38605.07529,46547358.97
88,1276,Klippan,1276A0010,1121,Pendlingskommun nära större stad,25,3,1663,399357,6222747,81540.81118,171131371.4
89,1276,Klippan,1276C1010,1199,Pendlingskommun nära större stad,25,3,2607,385246,6220091,12223.76101,6127003.168
90,1276,Klippan,1276C1050,629,Pendlingskommun nära större stad,25,3,1520,385246,6220091,12529.77555,3486662.649
91,1276,Klippan,1276C1020,969,Pendlingskommun nära större stad,25,3,2113,385246,6220091,8624.080161,3541966.317
92,1276,Klippan,1276C1030,884,Pendlingskommun nära större stad,25,3,1721,385246,6220091,4732.565502,1063412.138
93,1276,Klippan,1276C1040,926,Pendlingskommun nära större stad,25,3,1526,385246,6220091,10388.52188,5528911.558
94,1272,Bromölla,1272A0010,864,Pendlingskommun nära större stad,25,3,1369,468633,6214465,113377.2214,138313380.4
95,1272,Bromölla,1272B3010,828,Pendlingskommun nära större stad,25,3,1311,467296,6211062,23404.34637,22797781.92
96,1272,Bromölla,1272C1010,1277,Pendlingskommun nära större stad,25,3,2664,468633,6214465,20305.96414,11942954.76
97,1272,Bromölla,1272C1020,1157,Pendlingskommun nära större stad,25,3,2467,468633,6214465,9433.768815,2649666.793
98,1272,Bromölla,1272C1030,906,Pendlingskommun nära större stad,25,3,1800,468633,6214465,8466.567327,3196492.047
99,1272,Bromölla,1272C1040,842,Pendlingskommun nära större stad,25,3,1646,468633,6214465,10237.39474,5036947.318
100,1272,Bromölla,1272B2010,771,Pendlingskommun nära större stad,25,3,1376,468633,6214465,14677.14592,11986134.92
101,1283,Helsingborg,1283A0040,707,Större stad,21,2,1178,359885,6226823,54883.59333,53080337.23
102,1283,Helsingborg,1283C1460,577,Större stad,21,2,1889,357269,6213746,1307.501325,86694.8941
103,1283,Helsingborg,1283C1440,652,Större stad,21,2,1790,357269,6213746,2012.849825,176679.5685
104,1283,Helsingborg,1283C1180,766,Större stad,21,2,1574,358942,6209795,3833.159725,626764.2785
105,1283,Helsingborg,1283C1390,617,Större stad,21,2,1682,357269,6213746,2852.899677,334059.7288
106,1283,Helsingborg,1283C1380,644,Större stad,21,2,2008,357269,6213746,3047.066246,370088.2437
107,1283,Helsingborg,1283C1450,490,Större stad,21,2,1733,357269,6213746,5192.581356,1038255.842
108,1283,Helsingborg,1283C1510,696,Större stad,21,2,2082,357269,6213746,1911.681476,211556.6161
109,1283,Helsingborg,1283C1230,396,Större stad,21,2,1963,357269,6213746,1747.656537,106076.0624
110,1283,Helsingborg,1283C1240,417,Större stad,21,2,1864,356328,6212211,1675.832592,133154.6794
111,1283,Helsingborg,1283C1410,784,Större stad,21,2,1971,357269,6213746,2061.060151,238802.7581
112,1283,Helsingborg,1283C1370,668,Större stad,21,2,1970,357269,6213746,5714.210008,1057021.5
113,1283,Helsingborg,1283C1500,627,Större stad,21,2,1993,357269,6213746,3571.033762,351962.4892
114,1283,Helsingborg,1283C1490,693,Större stad,21,2,2231,357269,6213746,5660.00675,1244108.988
115,1283,Helsingborg,1283C1610,1062,Större stad,21,2,2616,357269,6213746,7656.244949,2927831.395
116,1283,Helsingborg,1283B2010,905,Större stad,21,2,1927,358942,6209795,5939.762108,1752059.361
117,1283,Helsingborg,1283C1310,522,Större stad,21,2,1720,357269,6213746,1613.295159,119885.0588
118,1283,Helsingborg,1283C1300,837,Större stad,21,2,1901,357269,6213746,3606.470215,589716.3964
119,1283,Helsingborg,1283C1640,776,Större stad,21,2,1955,357269,6213746,6453.416774,2100336.946
120,1283,Helsingborg,1283C1420,566,Större stad,21,2,1412,357269,6213746,1985.325946,136998.763
121,1283,Helsingborg,1283C1430,737,Större stad,21,2,1820,357269,6213746,1487.201874,112167.7208
122,1283,Helsingborg,1283B5010,567,Större stad,21,2,941,358942,6209795,12460.30799,7918477.194
123,1283,Helsingborg,1283B2020,1259,Större stad,21,2,2885,358942,6209795,8893.297403,2629499.131
124,1283,Helsingborg,1283B2030,834,Större stad,21,2,1759,358942,6209795,8758.001239,3608118.631
125,1283,Helsingborg,1283C1170,769,Större stad,21,2,1639,358942,6209795,4417.878651,798165.2171
126,1283,Helsingborg,1283C1010,772,Större stad,21,2,1512,358942,6209795,8352.351113,4208478.721
127,1283,Helsingborg,1283C1020,778,Större stad,21,2,1723,358942,6209795,10924.20409,5597279.406
128,1283,Helsingborg,1283C1530,930,Större stad,21,2,2594,357269,6213746,2934.43337,377601.3243
129,1283,Helsingborg,1283C1560,575,Större stad,21,2,1837,361152,6216167,2446.415683,317560.2867
130,1283,Helsingborg,1283A0010,801,Större stad,21,2,1290,368607,6195414,61101.21825,53110133.36
131,1283,Helsingborg,1283C1030,736,Större stad,21,2,1582,358942,6209795,5482.941497,1427485.439
132,1283,Helsingborg,1283C1040,928,Större stad,21,2,2224,358942,6209795,7094.599003,1992853.838
133,1283,Helsingborg,1283C1050,784,Större stad,21,2,1490,358942,6209795,8049.472058,2888892.742
134,1283,Helsingborg,1283C1070,529,Större stad,21,2,1467,358942,6209795,8938.614173,3430780.365
135,1283,Helsingborg,1283C1060,538,Större stad,21,2,1019,358942,6209795,11465.36901,4152658.385
136,1283,Helsingborg,1283C1080,749,Större stad,21,2,1703,358942,6209795,10354.59553,2737604.686
137,1283,Helsingborg,1283C1090,552,Större stad,21,2,1531,358942,6209795,3063.898021,524561.4376
138,1283,Helsingborg,1283C1110,783,Större stad,21,2,1811,358942,6209795,3728.337971,691688.4596
139,1283,Helsingborg,1283C1100,757,Större stad,21,2,1581,358942,6209795,8136.234598,2302677.717
140,1283,Helsingborg,1283C1150,670,Större stad,21,2,1971,357401,6210155,2921.946157,477198.6697
141,1283,Helsingborg,1283C1120,748,Större stad,21,2,2403,357401,6210155,6805.666827,1459900.882
142,1283,Helsingborg,1283C1130,489,Större stad,21,2,2069,356328,6212211,5380.346923,1113003.695
143,1283,Helsingborg,1283C1190,848,Större stad,21,2,2181,357401,6210155,3970.080026,671633.2621
144,1283,Helsingborg,1283C1210,625,Större stad,21,2,2197,357269,6213746,3841.953095,595097.8344
145,1283,Helsingborg,1283C1200,613,Större stad,21,2,3279,356328,6212211,8360.632521,2261985.342
146,1283,Helsingborg,1283C1160,913,Större stad,21,2,1792,358942,6209795,11351.22238,5219303.321
147,1283,Helsingborg,1283C1140,1004,Större stad,21,2,1843,361152,6216167,12372.63908,6470987.584
148,1283,Helsingborg,1283C1340,551,Större stad,21,2,1377,357269,6213746,4375.929287,705665.2378
149,1283,Helsingborg,1283C1250,497,Större stad,21,2,1944,357269,6213746,1235.25592,77840.17936
150,1283,Helsingborg,1283C1280,380,Större stad,21,2,1588,357269,6213746,1272.221653,62061.72031
151,1283,Helsingborg,1283C1270,643,Större stad,21,2,1529,357269,6213746,4026.762706,540420.7366
152,1283,Helsingborg,1283C1290,527,Större stad,21,2,2063,357269,6213746,4088.843263,470145.5921
153,1283,Helsingborg,1283C1260,633,Större stad,21,2,1644,357269,6213746,2733.971596,353202.4778
154,1283,Helsingborg,1283C1330,423,Större stad,21,2,1539,357269,6213746,3068.374655,271330.5796
155,1283,Helsingborg,1283C1220,1250,Större stad,21,2,3115,358942,6209795,8881.570006,1969390.459
156,1283,Helsingborg,1283C1320,760,Större stad,21,2,1518,357269,6213746,3908.753057,572975.1044
157,1283,Helsingborg,1283C1360,829,Större stad,21,2,1987,357269,6213746,3553.702532,485150.9829
158,1283,Helsingborg,1283C1350,545,Större stad,21,2,1469,357269,6213746,3682.677454,660222.7511
159,1283,Helsingborg,1283C1400,783,Större stad,21,2,2388,357269,6213746,2492.171125,332177.7217
160,1283,Helsingborg,1283C1480,773,Större stad,21,2,2067,357269,6213746,1586.834169,147573.0333
161,1283,Helsingborg,1283C1470,587,Större stad,21,2,2473,357269,6213746,3899.9933,560581.4291
162,1283,Helsingborg,1283C1520,895,Större stad,21,2,2203,357269,6213746,3640.79157,603737.9542
163,1283,Helsingborg,1283C1540,415,Större stad,21,2,1617,357269,6213746,1979.20017,209608.7214
164,1283,Helsingborg,1283C1550,391,Större stad,21,2,1769,357269,6213746,2810.064075,320323.0086
165,1283,Helsingborg,1283B3010,1049,Större stad,21,2,1985,368329,6216038,9019.508009,5834798.664
166,1283,Helsingborg,1283C1570,613,Större stad,21,2,1721,361152,6216167,2984.695917,410416.9323
167,1283,Helsingborg,1283C1580,950,Större stad,21,2,2578,357269,6213746,4810.1974,865066.1721
168,1283,Helsingborg,1283C1620,582,Större stad,21,2,1383,357269,6213746,3436.415967,631978.6535
169,1283,Helsingborg,1283C1590,985,Större stad,21,2,1888,357269,6213746,11848.98842,4776319.728
170,1283,Helsingborg,1283A0020,780,Större stad,21,2,1328,368329,6216038,69147.11912,68473163.29
171,1283,Helsingborg,1283C1600,639,Större stad,21,2,1477,361152,6216167,14606.42987,7477718.337
172,1283,Helsingborg,1283C1650,628,Större stad,21,2,1434,357269,6213746,5249.950405,1105814.951
173,1283,Helsingborg,1283C1630,1381,Större stad,21,2,4285,357269,6213746,8565.675743,2719559.735
174,1283,Helsingborg,1283C1660,945,Större stad,21,2,2309,361152,6216167,14807.2917,5672059.209
175,1283,Helsingborg,1283C1690,1073,Större stad,21,2,2300,361152,6216167,5008.158138,1444392.683
176,1283,Helsingborg,1283C1680,438,Större stad,21,2,813,357269,6213746,9074.097728,2741091.33
177,1283,Helsingborg,1283C1670,1026,Större stad,21,2,2327,357269,6213746,9026.876844,2820987.671
178,1283,Helsingborg,1283C1700,897,Större stad,21,2,1711,361152,6216167,17178.731,7826491.874
179,1283,Helsingborg,1283B4010,696,Större stad,21,2,1457,359885,6226823,12636.87581,7809477.573
180,1283,Helsingborg,1283A0030,1158,Större stad,21,2,2087,359885,6226823,33119.44001,44891937.94
181,1275,Perstorp,1275A0010,829,Pendlingskommun nära större stad,25,3,1279,399357,6222747,75928.18735,145694141
182,1275,Perstorp,1275C1020,528,Pendlingskommun nära större stad,25,3,1473,399357,6222747,8618.066769,2633379.96
183,1275,Perstorp,1275C1010,632,Pendlingskommun nära större stad,25,3,1489,399357,6222747,13655.23083,7753310.719
184,1275,Perstorp,1275C1040,682,Pendlingskommun nära större stad,25,3,1772,399357,6222747,7279.825354,2032683.605
185,1275,Perstorp,1275C1030,698,Pendlingskommun nära större stad,25,3,1429,399357,6222747,10230.7677,4493699.055
186,1257,Örkelljunga,1257A0010,791,Pendlingskommun nära större stad,25,3,1278,386632,6241761,63515.7321,93092130.97
187,1257,Örkelljunga,1257C1030,682,Pendlingskommun nära större stad,25,3,1714,386632,6241761,8534.576419,2513376.067
188,1257,Örkelljunga,1257C1020,758,Pendlingskommun nära större stad,25,3,1557,386632,6241761,13811.23838,3007801.835
189,1257,Örkelljunga,1257C1010,763,Pendlingskommun nära större stad,25,3,1332,386632,6241761,16937.95747,12283611.76
190,1257,Örkelljunga,1257C1040,619,Pendlingskommun nära större stad,25,3,1104,386632,6241761,18063.34806,8848721.916
191,1257,Örkelljunga,1257A0020,1184,Pendlingskommun nära större stad,25,3,1832,404987,6247646,65539.39878,100337374.4
192,1257,Örkelljunga,1257A0030,938,Pendlingskommun nära större stad,25,3,1638,404987,6247646,61722.00072,110973337.5
193,1290,Kristianstad,1290A0110,1346,Större stad,21,2,2296,456053,6226593,71520.50954,162914715.7
194,1290,Kristianstad,1290B6010,783,Större stad,21,2,1518,445761,6217713,13761.37235,10219418.92
195,1290,Kristianstad,1290B8010,577,Större stad,21,2,1035,448292,6212635,15226.51522,9345429.807
196,1290,Kristianstad,1290A0010,657,Större stad,21,2,976,435014,6191255,74975.54686,94555689.89
197,1290,Kristianstad,1290B7010,787,Större stad,21,2,1418,440802,6179703,12556.25793,9286642.412
198,1290,Kristianstad,1290A0020,963,Större stad,21,2,1529,440802,6179703,65079.8495,97067528.42
199,1290,Kristianstad,1290B2010,1448,Större stad,21,2,2633,450480,6199931,23293.46813,14624383.28
200,1290,Kristianstad,1290B2020,630,Större stad,21,2,1215,450480,6199931,7026.010342,1173494.409
201,1290,Kristianstad,1290B2030,938,Större stad,21,2,1939,450480,6199931,7543.988774,1693947.13
202,1290,Kristianstad,1290B2050,1262,Större stad,21,2,2287,450480,6199931,7632.568164,2685999.887
203,1290,Kristianstad,1290A0030,951,Större stad,21,2,1589,435014,6191255,70784.43365,102291822.8
204,1290,Kristianstad,1290B2040,1019,Större stad,21,2,1956,450480,6199931,14283.90164,6315017.578
205,1290,Kristianstad,1290B2060,814,Större stad,21,2,1584,450480,6199931,11245.95948,5059270.95
206,1290,Kristianstad,1290B3010,1135,Större stad,21,2,2153,435014,6191255,13812.64886,8553632.977
207,1290,Kristianstad,1290B3020,776,Större stad,21,2,1455,435014,6191255,14569.71252,7887281.905
208,1290,Kristianstad,1290C1030,924,Större stad,21,2,1855,448292,6212635,12537.39484,4700276.708
209,1290,Kristianstad,1290C1160,722,Större stad,21,2,2454,448292,6212635,3074.853231,309366.6408
210,1290,Kristianstad,1290C1010,564,Större stad,21,2,1034,448292,6212635,15646.54486,7111004.218
211,1290,Kristianstad,1290A0040,1197,Större stad,21,2,2009,450480,6199931,56685.67629,99042243.56
212,1290,Kristianstad,1290A0060,554,Större stad,21,2,949,450480,6199931,39921.19775,37549070.71
213,1290,Kristianstad,1290C1020,1260,Större stad,21,2,2326,448292,6212635,16117.662,10322816.22
214,1290,Kristianstad,1290C1040,668,Större stad,21,2,1199,448292,6212635,12529.28877,7124164.631
215,1290,Kristianstad,1290C1050,1236,Större stad,21,2,2533,448292,6212635,10301.59241,3661404.761
216,1290,Kristianstad,1290C1060,665,Större stad,21,2,1656,448292,6212635,11507.09855,4651569.397
217,1290,Kristianstad,1290C1070,814,Större stad,21,2,2249,448292,6212635,9030.280787,3153690.077
218,1290,Kristianstad,1290C1100,717,Större stad,21,2,2039,448292,6212635,2241.493289,267519.9556
219,1290,Kristianstad,1290A0050,1077,Större stad,21,2,1824,435014,6191255,104142.4187,123418812.3
220,1290,Kristianstad,1290C1090,789,Större stad,21,2,1878,448292,6212635,8172.437749,2714823.231
221,1290,Kristianstad,1290C1130,645,Större stad,21,2,1839,448292,6212635,1959.421703,217111.0552
222,1290,Kristianstad,1290C1080,820,Större stad,21,2,1979,448292,6212635,10949.14617,4494506.684
223,1290,Kristianstad,1290C1120,716,Större stad,21,2,2304,448292,6212635,4084.220099,698617.6527
224,1290,Kristianstad,1290C1140,624,Större stad,21,2,1892,448292,6212635,4292.774153,441804.4349
225,1290,Kristianstad,1290A0070,678,Större stad,21,2,1040,448292,6212635,69621.92674,92895415.6
226,1290,Kristianstad,1290C1110,1065,Större stad,21,2,2182,448292,6212635,11567.53392,4981717.905
227,1290,Kristianstad,1290C1170,689,Större stad,21,2,1828,448292,6212635,3137.04631,536709.3404
228,1290,Kristianstad,1290C1150,743,Större stad,21,2,1856,448292,6212635,9083.233555,2305961.258
229,1290,Kristianstad,1290B4010,1076,Större stad,21,2,1959,448292,6212635,12703.51858,9605522.283
230,1290,Kristianstad,1290C1200,643,Större stad,21,2,1600,448292,6212635,3735.601164,435599.6947
231,1290,Kristianstad,1290C1180,1225,Större stad,21,2,2856,448292,6212635,7730.055176,2110406.884
232,1290,Kristianstad,1290C1220,445,Större stad,21,2,2440,448292,6212635,1856.679499,205034.9754
233,1290,Kristianstad,1290C1210,869,Större stad,21,2,1820,448292,6212635,12314.86381,4413656.527
234,1290,Kristianstad,1290C1190,683,Större stad,21,2,2083,448292,6212635,12367.32198,3990152.941
235,1290,Kristianstad,1290C1230,527,Större stad,21,2,2648,448292,6212635,6407.383526,1171135.674
236,1290,Kristianstad,1290B5010,919,Större stad,21,2,1712,445761,6217713,15104.83463,10903310.03
237,1290,Kristianstad,1290A0080,1430,Större stad,21,2,2248,448292,6212635,113757.3382,201231081.9
238,1290,Kristianstad,1290A0090,1130,Större stad,21,2,1855,445761,6217713,85959.98875,111778981.6
239,1290,Kristianstad,1290A0100,620,Större stad,21,2,1009,445761,6217713,73169.58231,99550977.74
240,1273,Osby,1273C1010,867,Pendlingskommun nära mindre tätort,33,5,1567,419121,6239024,13945.84022,10563103.88
241,1273,Osby,1273A0020,816,Pendlingskommun nära mindre tätort,33,5,1208,419121,6239024,129973.6792,230726001.6
242,1273,Osby,1273A0010,619,Pendlingskommun nära mindre tätort,33,5,864,456053,6226593,112625.8224,225557978.6
243,1273,Osby,1273C1020,768,Pendlingskommun nära mindre tätort,33,5,1495,419121,6239024,9976.262769,3949359.464
244,1273,Osby,1273C1030,645,Pendlingskommun nära mindre tätort,33,5,1465,419121,6239024,10724.63278,6267413.738
245,1273,Osby,1273C1040,747,Pendlingskommun nära mindre tätort,33,5,1711,419121,6239024,10950.36387,4995620.434
246,1273,Osby,1273C1050,758,Pendlingskommun nära mindre tätort,33,5,1659,419121,6239024,10887.88547,3970308.61
247,1273,Osby,1273B2010,976,Pendlingskommun nära mindre tätort,33,5,1958,456053,6226593,13302.24872,10636289.82
